ticker,totalShares,floating
CTD,77050000.00 ,76534844.00 
BMP,81860938.00 ,81860938.00 
VCB,3597768575.00 ,3597768575.00 
FPT,530961105.00 ,530878729.00 
STB,1885215716.00 ,1803653429.00 
DHG,130746071.00 ,130746071.00 
KBC,475711167.00 ,469760189.00 
GAS,1913950000.00 ,1913348070.00 
ROS,472999999.00 ,472999999.00 
KDC,256653397.00 ,205661141.00 
NVL,622828788.00 ,622828788.00 
NT2,287876029.00 ,287876029.00 
GMD,179432281.00 ,179432281.00 
MWG,307765789.00 ,307531629.00 
VNM,1451453429.00 ,1451304721.00 
VIC,2637707954.00 ,2637707954.00 
BID,3418715334.00 ,3418715334.00 
SBT,557018673.00 ,557018673.00 
SAB,641281186.00 ,641281186.00 
CII,279806415.00 ,246244905.00 
HSG,349996683.00 ,349996683.00 
CTG,3723404556.00 ,3723404556.00 
PVD,383266160.00 ,382850160.00 
DPM,391400000.00 ,391334260.00 
MSN,1157373974.00 ,1148139764.00 
REE,310058841.00 ,310050926.00 
BVH,680471434.00 ,680471434.00 
HPG,1517079000.00 ,1516909673.00 
SSI,490063684.00 ,489845250.00 
MBB,1815505363.00 ,1815505363.00 
